Name,MP,2PA,2P%,3PA,3P%,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,ALLSTAR_Yes,POS_Forward,POS_Guard
Markelle Fultz,35.7,12.5,0.502,5.0,0.413,6.7,0.649,5.7,5.9,1.6,1.2,3.2,2.5,23.2,0,0,1
Carmelo Anthony,36.4,12.7,0.496,4.7,0.337,6.8,0.706,10.0,2.2,1.6,0.9,2.2,2.2,22.2,1,1,0
Lamar Patterson,24.3,4.3,0.483,3.1,0.369,2.6,0.723,3.9,2.9,1.0,0.3,1.6,1.9,9.5,0,0,1
Landry Fields,23.6,6.0,0.51,2.3,0.342,3.3,0.6759999999999999,5.0,1.6,0.9,0.4,1.5,1.6,10.8,0,1,0
Morris Almond,27.1,7.6,0.514,2.9,0.435,4.2,0.8240000000000001,3.5,1.0,0.7,0.5,2.2,1.7,15.1,0,0,1
Ben Gordon,31.0,7.2,0.452,5.5,0.423,4.4,0.795,3.9,4.1,1.2,0.2,2.8,2.3,16.9,0,0,1
Shabazz Napier,32.3,5.3,0.444,4.8,0.375,4.4,0.813,4.0,4.5,1.8,0.2,2.4,2.1,13.7,0,0,1
Klay Thompson,34.4,8.1,0.45,6.3,0.39,3.9,0.8270000000000001,4.8,2.6,1.3,0.8,2.9,2.5,17.9,1,0,1
Joseph Forte,33.9,10.9,0.489,4.4,0.368,4.0,0.81,5.8,3.0,1.8,0.4,2.4,2.0,18.7,0,0,1
Lavoy Allen,32.2,7.7,0.5489999999999999,0.5,0.28800000000000003,2.4,0.6709999999999999,8.5,2.1,0.5,1.6,1.4,2.5,10.5,0,1,0
John Wall,34.8,8.8,0.509,3.1,0.325,6.3,0.754,4.3,6.5,1.8,0.5,4.0,1.9,16.6,1,0,1
Demetrius Jackson,29.1,5.6,0.447,4.8,0.348,4.0,0.8370000000000001,2.8,3.3,1.1,0.1,3.4,2.6,13.4,0,0,1
